ref_article,designation,marque,famille,next_year,avg_forecast,trend_pct,trend_label,data_points
PA0316,BRASIL CACAU - SMOOTHING PROTEIN 1L,CADIVEU,LISSAGE,2026,1131836.28678436,15.530140870169957,Downtrend,6
PA0038,BRASIL CACAU - KERATINE THERMAL RECONSTRUCTION 1L,CADIVEU,LISSAGE,2026,299322.7951817471,-77.3862615894119,Downtrend,6
PA0607,BRASIL CACAU - BOTOX VEGAN 1L,CADIVEU,LISSAGE,2026,195928.9379666667,-78.28342075557548,Downtrend,3
8006569715814,TEINT IALO 7.1 100ML,H. ZONE,IALO,2026,124810.31692080735,132.7113549907377,Uptrend,6
8006569715685,TEINT IALO 7.0 100ML,H. ZONE,IALO,2026,124417.6657168868,141.44864223321062,Uptrend,6
PA0328,BRASIL CACAU-ECO KERATINE 1L,CADIVEU,LISSAGE,2026,102698.95751375337,-72.97857910277091,Downtrend,6
8006569715678,TEINT IALO 6.0 100ML,H. ZONE,IALO,2026,97117.26842833524,158.71149514424238,Uptrend,6
REV150V20,REVELATEUR 20V 150ML,H. ZONE,TRESOR,2026,95676.82315269277,6391.752881699665,Stable,5
SH_RB_ANTIC_1L,SHAMPOING RB ANTICHUTE 500ML-6192488204965,RENEE BLANCHE,0%SSP,2026,92670.23569135673,793.7190635901027,Stable,5
SHAM_RB_NUTR_500ML,SHAMPOING RB NUTRITIF 500ML-6192488204941,RENEE BLANCHE,0%SSP,2026,88106.99154670004,713.9755272797893,Stable,5
8006569715821,TEINT IALO 8.1 100ML,H. ZONE,IALO,2026,78996.54424383129,60.067670898969205,Stable,6
HO2V100,H.Z OXY 20V 100ML,H. ZONE,IALO,2026,78923.89741512471,148.1589547043619,Uptrend,6
PA0425,BRASIL CACAU -ANTI FRIZZ SHAMPO A-300ML  SULFATE FREE ,CADIVEU,SOINS CAPILLAIRES,2026,74354.73589233351,-57.086961146816776,Downtrend,4
HZTI/700,TEINT IALO 7.00 100ML,H. ZONE,IALO,2026,73243.88257093258,445.7458485935814,Uptrend,6
HZTT7.0,TEINT HZ TRESOR SA 7.0,H. ZONE,TRESOR,2026,70526.65228070007,193.22946013006336,Stable,5
8006569715692,TEINT IALO 8.0 100ML,H. ZONE,IALO,2026,69522.62276712184,66.54658903585343,Uptrend,6
6192488206129,KIT COLORATION RB SO COLOR 7.1,RENEE BLANCHE,MASS MARKET,2026,68002.07733125077,9251.590686864964,Stable,4
HZTT7.1,TEINT HZ TRESOR SA 7.1,H. ZONE,TRESOR,2026,67782.8131751667,110.16217125732778,Stable,5
PA0029,BRASIL CACAU - DEEP CONDITIONING MASK 1L,CADIVEU,LISSAGE,2026,64806.871833967256,-65.26594598722994,Downtrend,6
6192488206105,KIT COLORATION RB SO COLOR 7.0,RENEE BLANCHE,MASS MARKET,2026,64300.617136416186,9639.790553658226,Uptrend,4
8006569715722,TEINT IALO 6.1 100ML,H. ZONE,IALO,2026,63613.83121522713,56.157365417815576,Stable,6
PA0310,BRASIL CACAU - ANTI FRIZZ SHAMPOO -A- 300 ML SULFATE FREE ,CADIVEU,SOINS CAPILLAIRES,2024,56340.054440083055,-100.24545260864714,Downtrend,4
